freq	Inten
68.815872	1.2933
104.95641599999999	1.4918
124.155744	4.5827
172.065312	0.0948
213.038112	7.7211
255.293952	0.7673
262.484352	1.0109
342.488256	1.6104
366.228096	0.7736
387.923904	0.1832
417.19420799999995	0.0263
468.333984	0.0253
469.82140799999996	0.2602
491.98588800000005	0.9787
503.0097599999999	0.0879
516.001536	1.1964
521.1136319999999	2.3008
551.111136	1.1969
564.187296	1.0671
619.964352	0.5908
629.122464	6.6901
669.752352	0.1257
685.732128	5.3671
694.1123519999999	0.2125
723.534816	11.1436
760.9845119999999	8.1672
767.44128	0.0789
801.74736	0.3493
821.593728	3.9614
826.292736	0.0966
842.471616	10.6501
857.647872	109.6148
871.6000319999999	0.3146
911.2278719999999	0.06
964.635264	0.001
966.1743359999999	1.08
978.045024	0.8123
984.4657920000001	0.1712
992.6383679999999	0.288
1053.7701120000002	0.4975
1100.08992	1.4188
1111.876608	0.2607
1157.05296	0.2363
1170.6513599999998	2.2842
1179.760992	3.038
1192.0385279999998	8.7446
1216.400064	1.0131
1231.225536	12.1457
1248.595008	3.9771
1257.518784	2.918
1310.868672	7.2218
1329.7983359999998	0.0689
1356.640704	0.0088
1379.421504	8.5082
1404.7992	0.4831
1422.5626559999998	0.9245
1433.0736	8.6094
1449.0203519999998	0.3825
1481.0759999999998	2.4191
1501.278912	2.2954
1531.504608	1.2797
1572.417216	2.739
1581.60768	28.7429
1600.422528	9.012
1617.4198079999999	8.4714
2215.3032	77.5769
3054.2269439999995	1.0836
3057.038016	0.2096
3060.96528	1.9792
3064.822944	19.8452
3067.3257599999997	2.0879
3075.154944	38.5529
3084.648672	38.8521
3086.092224	15.9814
3091.443168	13.8676
