G0	n_simulations	num_molecules	overall_avg_years_to_zero	overall_avg_energy	overall_std_years_to_zero
1	1000	10000	51.05323203285421	7.837249270975744	21.28487954229471
1	1000	10000	49.43384120465435	7.923961931856308	19.798752722772303
1	1000	10000	51.05303216974675	7.801633304963376	22.871534830835024
1	1000	10000	50.74534291581109	7.886165837178592	21.480702840387448
1	1000	10000	50.633919233401784	7.839289124940415	21.426767041631837
2600	1000	10000	35.130138261464744	4.091801123340664	29.68683071314156
2600	1000	10000	35.95817111567419	4.046920161382598	30.2503143543992
2600	1000	10000	34.368959616700884	4.13640038483533	30.319740527941
2600	1000	10000	34.96834907597536	4.069883617257794	30.831547713991085
2600	1000	10000	34.48667898699521	4.1203444335596355	30.58585303460268
47000.0	1000	10000	35.28413278576318	4.078749086478115	30.355989180304125
47000.0	1000	10000	33.78206160164271	4.109937664606056	29.75010008731775
47000.0	1000	10000	33.40721834360028	4.101059431565376	28.54220826113186
47000.0	1000	10000	34.20966872005476	4.105132902953248	30.695528765959352
47000.0	1000	10000	34.86172210814511	4.079578328923449	30.62111456272135
