n_simulations	num_molecules	G0	overall_avg_years_to_zero	overall_std_years_to_zero	overall_avg_lifetime	overall_avg_energy
1000	10000	1	43.465229295003425	5.911783403600224	22.43463381245722	3.9729471355400907
1000	10000	2600	0.8324298425735798	0.13026031071948826	0.44969199178644764	6.669658270736114
1000	10000	47000	0.8298316221765912	0.13058511572477877	0.34976043805612594	6.655454075950121
1000	10000	300000	0.8260342231348391	0.12550241470020818	0.44969199178644764	6.6587637405673705
1000	10000	300000	0.8272334017796029	0.12870299602718616	0.34976043805612594	6.664279827768482
1000	10000	300000	0.8280328542094456	0.13068525775803086	0.5496235455167693	6.658787501808902
1000	10000	300000	0.8220369609856263	0.1240489948332138	0.34976043805612594	6.655961060192362
1000	10000	300000	0.8336290212183436	0.12933459650923682	0.44969199178644764	6.666374506684136
1000	10000	300000	0.8272334017796029	0.12776850009306265	0.44969199178644764	6.665504543606017
1000	10000	300000	0.8294318959616701	0.13159130274177697	0.44969199178644764	6.650906246454457
1000	10000	300000	0.8216372347707049	0.1300921540366225	0.44969199178644764	6.6600034011015685
1000	10000	300000	0.8326297056810403	0.1302095490626822	0.34976043805612594	6.655078385360573
1000	10000	300000	0.8322299794661191	0.12907876837828194	0.34976043805612594	6.646559266126917
1000	10000	300000	0.8340287474332649	0.1337845782063682	0.34976043805612594	6.664277214465686
1000	10000	300000	0.8206379192334018	0.12557448506421964	0.34976043805612594	6.661401209732423
1000	10000	300000	0.8248350444900753	0.1270146952035976	0.44969199178644764	6.651453496619797
1000	10000	300000	0.8216372347707049	0.1285477184731416	0.34976043805612594	6.657267918332287	10.865684132152843
1000	10000	300000	0.8252347707049965	0.12880847784344823	0.34976043805612594	6.65670454396674	10.86548325685255
1000	10000	300000	0.8248350444900753	0.1279546965453232	0.34976043805612594	6.658215813427325
