n_simulations	num_molecules	G0	overall_avg_years_to_zero	overall_std_years_to_zero	overall_avg_energy
1000	10000	1	26.50364681724846	4.074378048712162	9.217142746117586
1000	10000	1	26.095826146475016	4.337451047725888	9.229065570512912
1000	10000	1	26.546017796030114	4.399926092664595	9.162054222100908
1000	10000	1	26.56220670773443	4.391163019875811	9.204065855472459
1000	10000	1	26.679026694045177	4.394491945527422	9.163369574044243
1000	10000	2600	18.389004791238875	6.081734315995436	5.461927179144698
1000	10000	2600	18.43647227926078	6.2226808949972074	5.461953504378055
1000	10000	2600	18.54150034223135	6.170679365675472	5.461877999529921
1000	10000	2600	18.24080629705681	6.118926551686854	5.462083337391703
1000	10000	2600	18.420383299110195	6.40697119177968	5.462025263357088
1000	10000	47000	18.006266940451745	5.920295941068605	5.462342037296687
1000	10000	47000	18.177449691991786	6.0536229084876885	5.4623242119149555
1000	10000	47000	18.329345653661875	5.838311862648526	5.462084149318354
1000	10000	47000	18.48643805612594	6.12302160116166	5.462198683916183
1000	10000	47000	17.928919917864476	6.007146827775902	5.4624863825823065
1000	10000	47000000	8.845041752224505	2.9301626779422287	5.631530952370562
1000	10000	4700	18.166057494866532	5.630393094926364	5.462068982178841
