n_simulations	num_molecules	G0	overall_avg_years_to_zero	overall_std_years_to_zero	overall_avg_lifetime	overall_avg_energy
1000	10000	1	26.038065708418895	3.3356555660053067	14.739904175222451	5.659164340751198
1000	10000	1	26.180168377823406	3.421424423116802	12.991101984941821	5.657535371018408
1000	10000	2600	0.6011882272416154	0.10687276714048127	0.24982888432580425	7.623593731143904
1000	10000	47000	0.6023874058863792	0.11267104311613692	0.24982888432580425	7.618683848973905
1000	10000	300000	0.6071841204654346	0.10993488348160242	0.44969199178644764	7.617168647022229
1000	10000	300000	0.6049856262833675	0.10749421288661307	0.34976043805612594	7.637294780794183
1000	10000	300000	0.6039863107460645	0.11083233780924985	0.24982888432580425	7.642169179860815
1000	10000	300000	0.6009883641341547	0.11127027373275034	0.34976043805612594	7.6224805590413585
1000	10000	300000	0.6073839835728954	0.11208008726641261	0.34976043805612594	7.618870183556617
1000	10000	300000	0.6107816563997263	0.1117919244130035	0.34976043805612594	7.637076735442273
1000	10000	300000	0.6057850787132102	0.11217983467723602	0.24982888432580425	7.621059133152311
