freq	Inten
57.336096	1.6841
99.425088	3.7116
123.06806399999999	2.7383
166.836864	0.2959
204.693216	11.1328
246.79968000000002	2.0353
265.882752	1.7639
338.716032	1.3337
356.80463999999995	6.5246
362.81270399999994	0.1369
411.90422399999994	1.4406
454.37270399999994	0.4648
468.045888	0.764
480.033888	1.3328
487.988544	1.2097
496.52966399999997	4.693
518.1816	0.7903
519.192192	3.177
560.8968	0.2572
599.546976	1.7712
615.5882879999999	3.6221
663.856128	2.3904
671.7727679999999	14.4432
679.446528	2.0112
719.499072	15.7149
756.288096	0.7002
772.4895359999999	6.2957
781.296672	8.7227
814.8299519999999	0.9015
818.5723199999999	3.4761
852.8922239999999	13.6684
864.670944	4.7375
873.172608	111.0754
939.6216	16.6104
944.4513599999999	0.6454
967.5305279999999	8.2967
997.5862079999999	0.108
1003.19376	0.1164
1019.987136	0.4446
1034.9950079999999	25.5021
1088.598816	6.8812
1117.605216	0.572
1143.100704	2.335
1172.4378239999999	3.8624
1185.192288	2.8411
1200.970176	19.7705
1219.78944	64.7195
1239.6063359999998	26.3664
1256.7463679999998	53.3278
1275.519936	14.6385
1320.7358399999998	14.2105
1343.529408	4.0727
1352.22624	124.2847
1377.5349119999998	27.119
1395.246144	48.3651
1420.9126079999999	25.5764
1430.85744	44.3087
1442.810976	121.408
1477.6498559999998	14.5243
1488.9282239999998	17.0984
1552.165728	77.628
1559.941056	40.1876
1568.831232	56.7713
1590.691584	25.416
1848.9473279999997	18.8791
2246.3642879999998	1.0909
3080.1593279999997	0.073
3081.976032	0.2993
3083.887104	0.1242
3086.292192	1.6385
3094.641888	10.3366
3099.1319999999996	0.6051
3102.115776	0.0975
3106.7969279999998	3.533
