freq	Inten
47.774208	11.1731
87.623904	10.2295
109.58304	3.2911
130.83187199999998	14.4873
182.87481599999998	1.7274
198.078624	10.3877
211.02768	36.1763
263.691072	2.2722
275.87836799999997	2.9321
368.48112	38.7646
394.617504	2.0223
401.9568	36.0804
441.94118399999996	28.9365
474.445632	11.4594
484.38336	31.5908
492.62476799999996	45.9138
510.4583999999999	28.1171
527.2331519999999	1.5397
536.139936	7.7233
547.864032	40.4468
586.6131839999999	24.8068
622.40304	130.4021
668.665728	11.1112
685.26672	32.1929
716.525472	131.4678
744.687648	23.8215
763.0131839999999	10.9119
774.310176	44.0644
794.1659520000001	40.9304
797.578176	16.3906
812.885376	15.6464
825.4109759999999	9.7024
847.4970239999999	45.9186
876.623328	73.1113
935.482176	0.2312
938.555808	243.7563
965.889888	18.1251
984.6447359999999	0.2519
991.7088959999999	0.7305
1009.0324799999999	0.2541
1077.408288	24.389
1120.564512	66.8186
1134.0996480000001	0.5064
1143.888192	38.7824
1167.604224	9.9017
1196.197248	10.4267
1217.020896	6.7461
1232.345568	62.5537
1247.1560639999998	258.1165
1266.15792	68.3373
1290.662016	73.9448
1340.284416	58.0341
1353.9995519999998	56.8717
1368.07728	255.1257
1396.5677759999999	10.3269
1413.905184	32.1015
1431.6569279999999	5.3462
1457.723616	75.2264
1486.8400319999998	17.2496
1497.881952	335.4006
1541.912928	34.8677
1548.28848	417.7669
1553.8073279999999	797.7221
1609.110144	351.4628
2091.38592	34.6247
3073.477632	1.3807
3077.257248	0.2852
3078.4484159999997	0.2524
3080.7722879999997	0.5907
3082.9345919999996	3.0105
3093.390048	5.8691
3105.573216	8.8356
3105.86352	4.3586
3319.102656	323.9153
