freq	Inten
92.351136	1.9361
127.246272	4.7071
172.329024	2.3956
204.397632	0.1342
352.016736	0.3646
355.634592	3.8254
417.07728	0.5787
436.96915199999995	7.3085
451.702176	1.4585
485.45808	0.0789
533.506464	3.2678
551.075712	3.2723
579.324672	1.5645
653.459904	13.8898
686.37312	8.9014
749.29632	2.9146
773.535936	0.6955
781.7761919999999	3.9716
804.102912	94.3533
842.059872	2.5463
896.010912	1.6711
965.9931839999999	2.8878
985.3779840000001	0.867
1003.647168	0.7832
1013.752128	2.7274
1031.5599359999999	1.5825
1033.5764159999999	0.0095
1086.79632	2.2616
1146.242496	2.6756
1164.885792	6.8587
1197.283968	8.483
1235.347872	38.0417
1253.716512	65.202
1287.4008	5.8527
1337.9556479999999	71.2409
1344.3531839999998	36.1044
1410.248928	68.4898
1434.801984	4.2804
1484.6568	49.641
1499.7550079999999	1.8959
1533.5656319999998	10.1647
1580.4115199999999	22.1925
1823.839104	12.5382
2256.914112	11.4181
3082.34352	2.444
3089.075328	0.1304
3093.00864	0.5449
3102.82128	0.0839
3113.105568	0.4602
3113.362944	17.5071
