freq	Inten
65.998752	0.9852
104.23804799999999	2.2926
123.01632	4.1216
166.96704	0.0025
200.615232	13.2873
250.70486399999996	0.1058
254.753184	1.0173
336.48528	0.7541
363.415104	1.0529
380.45548799999995	0.1482
416.25071999999994	0.2684
443.207424	0.9435
467.289504	0.4227
473.11487999999997	0.0848
486.848736	1.8212
501.04569599999996	0.0029
513.882048	3.1983
532.9405439999999	0.0167
564.250464	0.1702
616.5036479999999	0.4054
623.86992	10.3767
668.304864	0.3699
669.355488	7.8574
683.40432	13.1583
717.424416	16.9724
763.2443519999999	0.076
765.985248	1.8068
809.1758399999999	2.1213
818.666304	3.544
825.08736	0.0336
858.523296	14.1752
870.423744	2.9876
872.120064	105.8096
942.600864	0.0789
972.23328	13.6073
984.686304	0.1186
997.34928	0.1122
1001.632128	0.0003
1014.18336	0.0234
1053.2264639999999	10.9671
1104.333888	17.0228
1128.613728	0.3764
1154.6984639999998	0.2295
1160.6941439999998	0.9994
1187.0584319999998	0.7132
1199.390496	15.0851
1220.178144	13.7026
1232.366112	20.1573
1240.014432	1.012
1253.229024	74.8506
1305.868992	26.5627
1340.200704	5.1465
1343.881632	109.3384
1380.137952	4.6926
1395.832128	21.5607
1425.61008	5.6765
1433.2224959999999	8.7912
1441.107456	22.1464
1468.22688	5.8544
1487.020992	3.409
1500.942432	5.4444
1533.8943359999998	16.0365
1537.7690879999998	211.7098
1541.98176	21.451
1601.2791359999999	7.2072
2207.11824	30.7034
3081.520032	0.1285
3083.132064	0.0803
3084.728448	0.3671
3086.608128	0.963
3088.1123519999996	0.0784
3096.582144	2.1625
3099.5608319999997	0.2882
3110.884032	1.3233
3111.970848	0.1996
