freq	Inten
-128.313216	53.6753
15.959039999999998	1.8488
63.077664	10.2772
64.75008	7.749
156.57427199999998	19.4335
165.417216	13.8149
220.778688	1.3281
256.515552	25.2785
369.292224	1.2654
419.985792	7.8411
461.752512	21.7464
462.088704	1.0337
493.86182399999996	32.9101
511.874304	2.3548
572.223168	36.2651
678.2457599999999	3.4637
705.6465599999999	84.0656
741.07152	88.7813
742.2445439999999	6.12
751.2865919999999	9.2377
795.047712	48.49
798.550848	40.0705
846.1917119999999	30.0492
889.366176	23.5809
941.64336	4.0522
972.3715199999999	2.0145
1011.449376	6.7148
1024.28976	4.844
1046.713728	33.0067
1090.69488	1.6655
1127.945856	17.2821
1174.481664	21.9392
1201.227744	19.3624
1216.4747519999999	21.2998
1271.310048	12.6928
1303.520928	14.085
1350.937152	2.6381
1395.0852479999999	0.9475
1426.212384	0.2149
1456.668288	3.9885
1508.628096	16.6352
1583.883648	7.6166
1747.673664	25.7279
2114.793024	45.7364
3075.705024	1.0032
3088.868448	6.8516
3092.238624	0.6382
3106.019424	2.7146
3106.482912	19.696
3114.0597119999998	0.0308
3327.958464	182.8824
